Reg_Code,Reg_Name,Dis_Code,Dis_Name,Ward_Code,Ward_Name,Division,PCode,total_both,total_male,total_fema,rural_both,rural_male,urban_both,urban_male,urban_fema,rural_fema,area_km2,status,ward_type,Pop_Den
25,Geita,01,Geita,352,Kalangalala,,2501352,99795,48831,50964,0,0,99795,48831,50964,0,203.329446,2,Urban,491
25,Geita,02,Nyang'wale,011,Shabaka,,2502011,14341,7256,7085,14341,7256,0,0,0,7085,221.151139,1,Rural,65
25,Geita,02,Nyang'wale,021,Busolwa,,2502021,16894,8307,8587,16894,8307,0,0,0,8587,164.288904,1,Rural,103
25,Geita,02,Nyang'wale,031,Kakura,,2502031,23248,11407,11841,23248,11407,0,0,0,11841,167.219145,1,Rural,139
25,Geita,02,Nyang'wale,041,Nyugwa,,2502041,12742,6299,6443,12742,6299,0,0,0,6443,158.350066,1,Rural,80
25,Geita,02,Nyang'wale,051,Bukwimba,,2502051,17335,8542,8793,17335,8542,0,0,0,8793,227.885068,1,Rural,76
25,Geita,02,Nyang'wale,061,Kafita,,2502061,11846,5913,5933,11846,5913,0,0,0,5933,127.090394,1,Rural,93
25,Geita,02,Nyang'wale,071,Kharumwa,,2502071,13480,6546,6934,13480,6546,0,0,0,6934,104.355102,1,Rural,129
25,Geita,02,Nyang'wale,081,Izunya,,2502081,6521,3207,3314,6521,3207,0,0,0,3314,68.820421,1,Rural,95
25,Geita,02,Nyang'wale,091,Mwingiro,,2502091,8382,4219,4163,8382,4219,0,0,0,4163,85.641372,1,Rural,98
25,Geita,02,Nyang'wale,101,Nyabulanda,,2502101,9285,4626,4659,9285,4626,0,0,0,4659,110.239347,1,Rural,84
25,Geita,02,Nyang'wale,111,Nyang'hwale,,2502111,9355,4600,4755,9355,4600,0,0,0,4755,80.868753,1,Rural,116
25,Geita,02,Nyang'wale,121,Nyijundu,,2502121,12006,5815,6191,12006,5815,0,0,0,6191,95.509826,1,Rural,126
25,Geita,03,Mbogwe,011,Nanda,,2503011,7788,3852,3936,7788,3852,0,0,0,3936,103.942523,1,Rural,75
25,Geita,03,Mbogwe,021,Ikobe,,2503021,10350,4999,5351,10350,4999,0,0,0,5351,107.264871,1,Rural,96
25,Geita,03,Mbogwe,031,Lulembela,,2503031,18191,8727,9464,18191,8727,0,0,0,9464,85.992026,1,Rural,212
25,Geita,03,Mbogwe,041,Ikunguigazi,,2503041,8053,3948,4105,8053,3948,0,0,0,4105,82.048486,1,Rural,98
25,Geita,03,Mbogwe,051,Isebya,,2503051,9064,4581,4483,9064,4581,0,0,0,4483,165.960292,1,Rural,55
25,Geita,03,Mbogwe,061,Ilolangulu,,2503061,11703,5705,5998,11703,5705,0,0,0,5998,252.067441,1,Rural,46
25,Geita,03,Mbogwe,071,Mbogwe,,2503071,9935,4904,5031,9935,4904,0,0,0,5031,116.345437,1,Rural,85
25,Geita,03,Mbogwe,081,Mgemo,,2503081,9193,4428,4765,9193,4428,0,0,0,4765,90.480022,1,Rural,102
25,Geita,03,Mbogwe,091,Ushirika,,2503091,11622,5692,5930,11622,5692,0,0,0,5930,142.677635,1,Rural,81
25,Geita,03,Mbogwe,101,Nyasato,,2503101,11039,5437,5602,11039,5437,0,0,0,5602,152.242344,1,Rural,73
25,Geita,03,Mbogwe,113,Lugunga,,2503113,14982,7459,7523,12601,6289,2381,1170,1211,6312,223.573823,3,Mixed,67
25,Geita,03,Mbogwe,123,Nyakafulu,,2503123,21900,10514,11386,17083,8254,4817,2260,2557,8829,87.717706,3,Mixed,250
